ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE57111,tzh,t'ahnaj,i.v.,,,,,,,"Center, Bachajón, Guaquitepec",,,,,,t'an -h- -aj,,,,,alternancia H: <t'anaj>,,,
TSE57121,tzh,tahnan,t.v.,,,,,,,"Petalcingo, Yajalón",,,,,,tan -h- -an,,,,,alternancia H: <tanan>,,,
TSE57131,tzh,t'ahnan,t.v.,,,,,,,"Center, Bachajón, Guaquitepec",,,,,,t'an -h- -an,,,,,alternancia H: <t'anan>,,,
TSE57141,tzh,tahp'aj,i.v.,,,,,,,"Bachajón, Petalcingo",,,,,,tap' -h- -aj,,,,,,,,
TSE57151,tzh,tahp'an,recipr.t.v.,,,,,,,"Bachajón, Petalcingo",,,,,,tap' -h- -an,,,,,,,,
TSE57161,tzh,tahtam,n.,,,,,,,,,,,,,,,,,,alternancia H: <tajtam>,,,
TSE57171,tzh,t'ahw,i.v.,,,,,,,Bachajón,,,,,,,,,,,,Villa Las Rosas [tajch](TSE57191),,
TSE57181,tzh,taj,n.,,,,,,,,,,,,,,,,,,,,,
TSE57191,tzh,tajch,i.v.,,,,,,,Villa Las Rosas,,,,,,,,,,,,,,
TSE57201,tzh,tajchak',n.,,,,,,,,,,,,,,,,,,,,,
TSE57211,tzh,tajimal,n.,,,,,,,"Center, South; Guaquitepec, Sibakja’, Sitalá",,,,,,taj -im -al,,,,,,North [ixta'](TSE19921),,tajmal
TSE57221,tzh,tajimal,act.n.,,,,,,,,,TSE57211,,,,taj -im -al,,,,,,,,tajmal
TSE57231,tzh,tajimal k'in,n.,,,,,,,"Cancuc, Petalcingo, Tenejapa",,,,,,taj -im -al + k'in,,,,,,,,
TSE57241,tzh,tajin,agt.i.v.,,,,,,,,,,,[tajimal](TSE57221),,taj -in,,,,,,,,
TSE57251,tzh,tajkuntay,t.v.,,,,,,,Cancuc,,,,,,taj -kun -tay,,,,,alternancia -Y: <tajkunta>,"Oxchuc, Tenejapa [tajk'untay](TSE57252)",,
TSE57252,tzh,tajk'untay,t.v.,,,,,,,"Oxchuc, Tenejapa",,,,,,taj -k'un -tay,,,,,alternancia -Y: <tajk'unta>,Cancuc [tajkuntay](TSE57251),,
TSE57261,tzh,tajmal,n./act.n.,,,,,,,,,,,,,taj -m -al,,,,,,,,
TSE57271,tzh,tajun,n2.,,,,,,,,,,,,,tat + jun,-il,,,-ab,,Bachajón (San Sebastián) <muk'ul lol>,,
TSE57281,tzh,tak,part.,,,,,,,Yajalón,,,,,,,,,,,,,,
TSE57291,tzh,tak',def.t.v.,,,,,,,Center,,,,,,,,,,,,,,
TSE57301,tzh,tak'aj,i.v.,,,,,,,,,,,,,tak' -aj,,,,,,"Oxchuc, Villa Las Rosas (var. Guaquitepec) [ta'aj](TSE56881)",,
TSE57311,tzh,tak'ajel,n.,,,,,,,,,,,,,tak' -aj -el,,,,,,,,
