ID,Language_ID,Headword,Part_Of_Speech,Abstract_Noun,Agentive_Noun,Alternative_Form,Associated_Phrasemes,Attributive,Contains,Dialectal_Distribution,Diffusive_Form,Entry_IDs,Etymology,Infinitive,MarkedPossession,Morphological_Segmentation,NonPossessed_Form,Phonetic_Form,Plural,Possessed_Plural,Predictable_Dialectal_Variants,Related_Dialectal_Form,Source,Variant_Form
TSE19461,tzh,in,n.v.p.,,,,,,,,,,,,,,,,,,,,,
TSE19471,tzh,in,dem.,,,,,,,,,TSE19461,,,,,,,,,,,,
TSE19481,tzh,inam,n2.,,,,,,,,,,,,,,,,,,,,,
TSE19491,tzh,ina'tan,n.,,,,,,,,,,,,,,,,,,,,,
TSE19501,tzh,ine,dem.,,,,,,,"North, Cancuc, Tenango, Tenejapa",,,,,,in -e,,,,,,,,
TSE19511,tzh,ini,dem.,,,,,,,,,,,,,in -i,,,,,,,,
TSE19521,tzh,ip,n.,,,,[yip yo'tan](TSE76711),,,,,,,,,,,,,,,,,
TSE19531,tzh,ip,adj.,,,,[ip yo'tan](TSE19551),,,"Cancuc, Tenejapa",,TSE19521,,,,,,,,,,,,
TSE19541,tzh,ip,quant.,,,,,,,Villa Las Rosas,,TSE19521,,,,,,,,,,,,
TSE19551,tzh,ip yo'tan,phr.(n.v.p.+subj.NP),,,,,,TSE19531 ; TSE46881,Bachajón,,,,,,,,,,,,,,
TSE19561,tzh,ipaj,i.v.,,,,,,,,,,,,,ip -aj,,,,,,,,
TSE19571,tzh,ipaj,i.v.,,,,,,,"South, Tenejapa",,,quizás de [ipaj](TSE19561),,,ip -aj,,,,,,,,
TSE19591,tzh,ipaj,i.v.,,,,,,,"Bachajón, Guaquitepec, Petalcingo",,,,,,ip -aj,,,,,,Tenejapa [ijpaj](TSE18981),,
TSE19601,tzh,ipal,n2.,,,,[la ya'bey yipal](TSE35171),,,,,TSE76721,,,,ip -al,,,,,,,,
TSE19611,tzh,ipal,attr.adj./quant.,,,,,,,,,,,,,ip -al,,,,,,,,
TSE19621,tzh,ipal,inc.adv.,,,,,,,,,TSE19611,,,,ip -al,,,,,,,,
TSE19631,tzh,ipan,t.v.,,,,,,,,,,,,,ip -an,,,,,,,,
TSE19641,tzh,ipet,expr.,,,ipipet,,,TSE19521,,,,,,,ip -et,,,,,,,,
TSE19651,tzh,ipin,t.v.,,,,,,TSE19521,,,,,,,ip -in,,,,,,,,
TSE19661,tzh,iptay,t.v.,,,,,,TSE19521,,,,,,,ip -tay,,,,,alternancia -Y: <ipta>,,,
TSE19662,tzh,ipajib,n2.,,,,,,TSE19561,,,,,,,ip -aj -ib,,,,,,,,iptajib
TSE19671,tzh,is'ak',n.,,,,,,,,,,,,-il,is + 'ak',,,,,,,,
TSE19681,tzh,isim,n2.,,,,,,,,,,,,,,-il,,,,,,,
TSE19691,tzh,isim chay,n.,,,,,,TSE09981 ; TSE19681,,,,,,,isim + chay,,,,,,,,
TSE19701,tzh,ismut,n.,,,,,,,,,,,,,is + mut,,,,,,,,
TSE19711,tzh,it,n2.,,,,[yit sk'ab](TSE76751); [yit yok](TSE76752),,,,,,,,,,-il,,,,,,,
TSE19721,tzh,itaj,n.,,,,,,,,,,,,"-il, -ul",,,,,,,"Center (-Tenango), Amatenango [bok](TSE06651) (usado como sinónimo de <itaj> o como único genérico para verduras)",,
TSE19731,tzh,itaj,n.,,,,,,,"Amatenango, Oxchuc",,,,,,,,,,,,,,
TSE19741,tzh,it'ix,n2.,,,,,,,Tenejapa,,,,,,,,,,,,,,
TSE19751,tzh,it'ix,n./act.n.,,,,,,,Tenejapa,,TSE19741,,,-il,,,,,,,,,
TSE19761,tzh,it'ixaj,i.v.,,,,,,,Tenejapa,,,,,,it'ix -aj,,,,,,,,
TSE19771,tzh,it'ixan,t.v.,,,,,,,Tenejapa,,,,,,it'ix -an,,,,,,,,
TSE19781,tzh,itsib,n.,,,,,,,Tenejapa,,,,,,,,,,,,,,
TSE19791,tzh,itsu,n.,,,,,,,Amatenango,,,,,,,,,,,,,,
TSE19801,tzh,kitsumtik,diff.adj.,,,,,,TSE31041,,,,,,,kits -um -tik,,,,,,,,
TSE19811,tzh,iw,n.,,,,,,,,,,,,,,,,,,,,,
TSE19821,tzh,ixim,n.,,,,,,,,,,,,"-al, -ul (síncopa posible en Abasolo, Bachajón, Tenango, Oxchuc, Villa Las Rosas, etc.: <yixmal, yixmul>)",,,,,,,,,
TSE19831,tzh,ixim chan,n.,,,ixmal chan,,,TSE09441 ; TSE19821,,,,,,,ixim + chan,,,,,,,,
TSE19841,tzh,ixim te',n.,,,,,,TSE19821 ; TSE58281,,,,,,,ixim + te',,,,,,Guaquitepec <ramon te'>; Tenejapa <tsajal ixim te'>,,
TSE19851,tzh,iximal,n2.,,,,,,TSE19821,,,,,,,ixim -al,[iximaltik](TSE19861),,,,,,,
TSE19861,tzh,iximaltik,coll.,,,,,,TSE19821,,,,,,,ixim -al -tik,,,,,,,,
TSE19871,tzh,iximtik,diff.adj.,,,,,,TSE19821,,,,,,,ixim -tik,,,,,,,,
TSE19881,tzh,ixlan,t.v.,,,,,,,"Center, Amatenango",,,,,,ixta' -lan,,,,,,,,
TSE19891,tzh,ixlel,n2.,,,,,,,Tenejapa,,,,,,ix -lel,-il,,,,,,,
TSE19901,tzh,ixmaj,agt.i.v.,,,,,,TSE19821,"Center, Bachajón, Copanaguatla",,,,,,ixim -aj,,,,,,,,
TSE19902,tzh,ixmaj,i.v.,,,,,,TSE19821,Bachajón,,,,,,ixim -aj,,,,,,,,
TSE19911,tzh,ixmay,t.v.,,,,,,TSE19821,"Center, Copanaguatla",,,,,,ixim -ay,,,,,alternancia -Y: <ixma>,Bachajón [joliy](TSE24622),,
TSE19921,tzh,ixta',n.,,,,,,,North,,,,,,,,,,,,"Center, South [tajimal](TSE57211)",,
TSE19922,tzh,ixta'aj,i.v.,,,,,,,South,,,,,,ixta' -aj,,,,,,"Petalcingo, Tenejapa [ts'i'laj](TSE63821)",,
TSE19931,tzh,ixta',n2.,,,,,,,"North (-Guaquitepec), South",,TSE19921,,,,,-il,,,,,"Center, Guaquitepec [ixtab](TSE19981)",,
TSE19941,tzh,ixta',act.n.,,,,,,,North,,TSE19921,,,,,,,,,,,,
TSE19951,tzh,ixta',adj.,-il,,,,,,"Oxchuc, Tenejapa",,TSE19921,,,,,,,,,,,,
TSE19961,tzh,ixta' bihil,n2.,,,,,,,,,,,,,ixta' + bihil,,,,,"alternancia H: <ixta' bijil, ixta' biil, ixta' bil>",,,
TSE19971,tzh,ixta' k'op,n./act.n.,,,,,,,,,,,,,ixta' + k'op,,,,,,,,
TSE19981,tzh,ixtab,n2.,,,,,,,"Center, Guaquitepec",,,,,,ixta' -b,-il,,,,,"North, South [ixta'](TSE19931)",,
TSE19991,tzh,ixtabin,t.v.,,,,,,TSE19981,"Center, Guaquitepec",,,,,,ixta' -b -in,,,,,,,,
TSE20001,tzh,ixta'el,n.,,,,,,,"Oxchuc, Tenejapa",,,,,,ixta' -el,,,,,,,,
TSE20011,tzh,ixta'in,t.v.,,,,,,TSE19931,North (-Guaquitepec),,,,,,ixta' -in,,,,,,"Center, Guaquitepec [ixtabin](TSE19991); Amatenango [ixtan](TSE20041), [ixtalan](TSE20031), [ixlan](TSE19881)",,
TSE20021,tzh,ixtaj,agt.i.v.,,,,,,,,,,,[ixta'](TSE19941),,ixta' -j,,,,,,,,
TSE20031,tzh,ixtalan,t.v.,,,,,,,"North, Amatenango",,,,,,ixta' -lan,,,,,,"Center [ixlan](TSE19881); Villa Las Rosas, var. Guaquitepec [ixtan](TSE20041)",,
TSE20041,tzh,ixtan,t.v.,,,,,,,"South, Guaquitepec",,,,,,ixta' -an,,,,,,,,
TSE20051,tzh,ixta'tik,diff.adj.,,,,,,,,,,,,,ixta' -tik,,,,,,,,
TSE20061,tzh,ja,n.,,,,,,,,,,,,,,,,,,,,,
TSE20071,tzh,ja,n.,,,,,,,"Oxchuc, Tenejapa",,TSE65691,,,,,,,,,,,,
TSE20081,tzh,ja',pro./n.v.p.,,,,,,,,,,,,,,,,,,,"otras formas: 1sg <jo'on>; 2sg <ja'at>; 1pl (inc.) <jo'otik>; 1pl (exc.) Sibakja’ <jo'otikon>, Tenejapa <jo'on jo'tik>; 2pl <ja'ex>, Oxchuc <ja'atik>, Villa Las Rosas <ja'atex>; 3pl <ja'ik>",,
TSE20091,tzh,ja',n.,,,,,,,,,,,,,,,,,,,,,
TSE20101,tzh,jaal,adj.,,,,,,,"Cancuc, Oxchuc, Tenejapa",,,,,,,,,,,,,,
TSE20111,tzh,ja'al,n.,,,,,,,,,,,,,ja' -al,,,,,,,,
TSE20121,tzh,ja'al chan,n.,,,,,,,,,,,,,ja' -al + chan,,,,,,,,
TSE20131,tzh,ja'al lukum,n.,,,,,,TSE20111 ; TSE39061,Tenejapa,,,,,,ja' -al + lukum,,,,,,,,
TSE20141,tzh,ja'al ts'i',n.,,,,,,,,,,,,,ja' -al + ts'i',,,,,,,,
TSE20151,tzh,ja'as,n.,,,,,,,,,,,,,,,,,,,,,
TSE20161,tzh,ja'at,pro./n.v.p.,,,,,,,,,,,,,ja' -at,,,,,,,,
TSE20171,tzh,jab,n.,,,,,,,,,,,,,,,,,,,,,
TSE20181,tzh,jab,n.,,,,,,,,,,,,,,,,,,,,,
TSE20191,tzh,j'abat,n.,,,,,,,Petalcingo,,,,,,j- 'abat,,,,,,,,
TSE20201,tzh,ja'bej,act.n.,,,,,,,Villa Las Rosas,,,,,,ja' -bej,,,,,,,,
TSE20211,tzh,ja'bej,agt.i.v.,,,,,,,Villa Las Rosas,,TSE20201,,,,ja' -bej,,,,,,,,
TSE20221,tzh,jaben,n.,,,,,,,"Center, Guaquitepec",,,originalmente <haben>,,,,,,,,,"Bachajón, Petalcingo, var. Guaquitepec [pimil](TSE50201)",,
TSE20231,tzh,jach,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20241,tzh,jach',t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20251,tzh,jach',t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20261,tzh,jach',t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20262,tzh,jach'in,t.v.,,,,,,,South,,,,,,jach' -in,,,,,,,,
TSE20271,tzh,jachal,pos.adj.,,,,,,,,,,,,,jach -al,,,jachajtik,,,,,
TSE20281,tzh,jach'al,pos.adj.,,,,,,,,,,,,,jach' -al,,,jach'ajtik,,,,,
TSE20291,tzh,jach'al,pos.adj.,,,,,,,,,,,,,jach' -al,,,jach'ajtik,,,,,
TSE20301,tzh,ja'chik,adv.,,,,,,,South,,,,,,ja' + chik,,,,,,,,
TSE20311,tzh,jach'k'uj,i.v.,,,,,,,"Guaquitepec, Oxchuc",,,,,,jach' -k'uj,,,,,,,,
TSE20321,tzh,jach'k'un,t.v.,,,,,,,"Guaquitepec, Oxchuc",,,,,,jach' -k'un,,,,,,,,
TSE20331,tzh,jach'ub,n2.,,,,,,,,,,,,,jach' -ub 'instrumento para estirar (el cabello)',-il,,,,,,,
TSE20341,tzh,ja'ex,pro./n.v.p.,,,,,,,,,,,,,ja' -ex,,,,,,,,
TSE20351,tzh,jahch'iy,t.v.,,,,,,,,,,,,,jach' -h- -iy,,,,,"alternancia H, -Y: <jajch'iy, jajch'i,...>",,,
TSE20361,tzh,jahk,i.v.,,,,,,TSE20661,Bachajón,,,,,,jak -h-,,,,,,,,
TSE20371,tzh,j'ahk',def.num.clas./adv.,,,,,,,,,TSE25901,,,,j- 'ahk',,,,,"alternancia H, J-: <j'ajk', ajk'>","Amatenango, Bachajón(San Sebastián), Villa Las Rosas [jts'ihn](TSE25481)",,
TSE20381,tzh,j'ahk'ot,n.,,,,,,,,,,,,,j- 'ahk'ot,,,,,"alternancia J-, H: <j'ajk'ot, ajk'ot>",,,
TSE20391,tzh,jahktes,t.v.,,,,,,TSE20361,Bachajón,,,,,,jak -h- -tes,,,,,,,,
TSE20401,tzh,jahk'u'ik',n.,,,,,,,"Bachajón, Guaquitepec, Petalcingo",,,,,,jak' -h- -u + 'ik',,,,,alternancia H: <jajk'u'ik>,Tenejapa <jajkuik'>,,
TSE20411,tzh,jahm,i.v.,,,,[jam ba'inal ya'iy](TSE20931),,TSE20921,,,,,,,jam -h-,,,,,alternancia H: <jam>,,,
TSE20421,tzh,jahmib,n2.,,,,,,TSE20921,,,,,,,jam -h- -ib,,,,,alternancia H: <jamib>,Bachajón <jamojbil>,,
TSE20431,tzh,jahpaj,i.v.,,,,,,,,,,,,,jap -h- -aj,,,,,alternancia H: <jajpaj>,,,
TSE20441,tzh,jahp'aj,i.v.,,,,,,,Bachajón,,,,,,jap' -h- -aj,,,,,,,,
TSE20451,tzh,jahp'an,t.v.,,,,,,,Bachajón,,,,,,jap' -h- -an,,,,,,,,
TSE20461,tzh,jaht,num.clas.,,,,,,TSE21231,,,,,,,jat -h-,,,,,alternancia H: <jajt>,,,
TSE20471,tzh,jaht,i.v.,,,,,,TSE21231,,,,,,,jat -h-,,,,,"alternancia H: <jajt, Oxchuc jajt'>",,,
TSE20481,tzh,jahtabul,n2.,,,,,,TSE21231,,,,,,,jat -h- -ab -ul,,,,,alternancia H: <jajtabul>,Oxchuc [jajpalul](TSE20591),,
TSE20491,tzh,jahtalal,adv.,,,ta jahtalal,,,TSE21231,,,,,,,jat -h- -al -al,,,,,alternancia H: <jajtalal>,,,
TSE20501,tzh,jahtalij,i.v.,,,,,,TSE21231,North,,,,,,jat -h- -al -ij,,,,,alternancia H: <jajtalij>,,,
TSE20511,tzh,jahtaltes,t.v.,,,,,,TSE21231,North,,,,,,jat -h- -al -tes,,,,,alternancia H: <jajtaltes>,,,
TSE20521,tzh,jahts,n2.,,,,,,,Bachajón,,,,,,,,,,,,,,
TSE20531,tzh,jahts,num.clas.,,,,,,TSE21301,,,,,,,jats -h-,,,,,alternancia H: <jajts>,,,
TSE20541,tzh,jahts,i.v.,,,,,,TSE21301,,,,,,,jats -h-,,,,,alternancia H: <jajts>,,,
TSE20551,tzh,jahw,num.clas.,,,,,,,,,,,,,jaw -h-,,,,,alternancia H: <jaw>,,,
TSE20561,tzh,jahwaj,i.v.,,,,,,,,,,,,,jaw -h- -aj,,,,,alternancia H: <jawaj>,,,
TSE20571,tzh,jahwan,t.v.,,,,,,,,,,,,,jaw -h- -an,,,,,alternancia H: <jawan>,,,
TSE20581,tzh,jahy,n.,,,,,,,,,TSE36961,,,-ul,,,,,,alternancia H: <jay>,"Oxchuc, Tenejapa [ja](TSE20071)",,
TSE20591,tzh,jajpalul,n2.,,,,,,,"Amatenango, Oxchuc",,TSE20481 ; TSE21111,,,,jap -j- -al -ul,,,,,alternancia H: Oxchuc <jajbalul>,,,
TSE20601,tzh,jajch,phas.i.v.,,,,,,,,,,,,,jach -j-,,,,,,,,
TSE20611,tzh,jajchel,dir.,,,,,,,,,,,,,jach -j- -el,,,,,,,,
TSE20621,tzh,jajches,t.v.,,,jajchtes,,,,,,,,,,jach -j- -es,,,,,,,,
TSE20631,tzh,jajchibal,n2.,,,,,,,,,,,,,jach -j- -ib -al,,,,,,,,
TSE20641,tzh,j'ajk'otil ants,n.,,,,,,,Cancuc,,,,,,j- 'ajk'ot -il + ants,,,,,,Tenango <j'ajk'otal ants>; Petalcingo <yantsilel>,,
TSE20651,tzh,jajtses,t.v.,,,,,,,"Cancuc, Tenejapa",,,,,,de jach -j- -es,,,,,,,,
TSE20661,tzh,jak,recipr.t.v.,,,,,,,"Guaquitepec, Tenejapa",,,,,,,,,,,,,,
TSE20662,tzh,jakal,pos.adj.,,,,,,TSE20661,"South, Abasolo, Bachajón, Oxchuc, San Pedro Pedernal, Tenejapa",,,,,,jak -al,,,jakajtik,,,"Center (-Tenejapa), North [namal](TSE43871)",,
TSE20671,tzh,jak',t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20681,tzh,jak',t.v.,,,,[la sjak' snuk'](TSE34661); [la sjak' yo'tan](TSE34671),,,,,,,,,,,,,,,,,
TSE20691,tzh,jakak,pred.adj.,,,,,,,"Petalcingo, Yajalón",[jakaktik](TSE20692),,,,,jak -REDUPL:VC2,,,,,,,,
TSE20692,tzh,jakaktik,diff.adj.,,,,,,TSE20691,"Petalcingo, Yajalón",,,,,,jak -REDUPL:C1VC2 -tik,,,,,,,,jakjaktik
TSE20701,tzh,jal,adj./adv.,,,,,,,,,,,,,,,,,,,,,
TSE20711,tzh,jal,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20721,tzh,jala'al,n2.,,,,,,,,,,,,,jalal + 'al,-il,,,,,"Amatenango, Villa Las Rosas <jalal al>; Oxchuc, Villa Las Rosas <jal'al>",,
TSE20731,tzh,jalab,act.n.,,,,,,TSE20711,,,,,,,jal -ab,,,,,,,,
TSE20741,tzh,jalab,n2.,,,,,,,,,TSE20731,,,,jal -ab,-il,,,,,,,
TSE20751,tzh,jalabij,i.v.,,,,,,,Guaquitepec,,,,,,jal -ab -ij,,,,,,,,
TSE20761,tzh,jalabil te',n2.,,,,,,,Bachajón,,,,,,jal -ab -il + te',,,,,,,,
TSE20771,tzh,jalaj,i.v.,,,,,,,,,,,,,jal -aj,,,,,,,,
TSE20781,tzh,jalajtes,t.v.,,,,,,,,,,,,,jal -aj -tes,,,,,,,,
TSE20791,tzh,jalal,n.,,,,,,,,,,,,-ul,,,,,,,,,
TSE20801,tzh,jalame',n2.,,,,,,,,,,,,,jalal + me',-il,,,,,"Amatenango, Villa Las Rosas <jalal me'>; var. Villa Las Rosas <jalme'>",,
TSE20811,tzh,Jalame'tik,n.,,,,,,,,,,,,,j- jalal + me' -tik,,,,,,"Amatenango, Villa Las Rosas <Jalalme'tik>",,
TSE20821,tzh,jalanich'an,n2.,,,,,,,,,,,,,jalal + nich'an,-il,,,,,"Amatenango, Villa Las Rosas <jalal nich'an>; var. Villa Las Rosas <jalnich'an>",,
TSE20831,tzh,jalatat,n2.,,,,,,,,,,,,,jalal + tat,-il,,,,,"Oxchuc <jaltat>; Amatenango, Villa Las Rosas <jalal tat>; var. Villa Las Rosas <jaltat>",,
TSE20841,tzh,jalatay,t.v.,,,,,,,Bachajón,,,,,,jal -a -tay,,,,,,,,
TSE20851,tzh,jalate',n2.,,,,,,,"Cancuc, Tenejapa",,,,,,jal -ab + te',"-el, -al",,,,,Bachajón [machit te'](TSE39471); Oxchuc [jalte'](TSE20911),,
TSE20861,tzh,jalaw,n.,,,,,,,,,,,,,,,,,,,,,
TSE20871,tzh,j'alkal,n.,,,,,,,Amatenango,,,del español,,,j- 'alkal,,,,,,,,
TSE20881,tzh,jalojom,n.,,,,,,,,,,,,,j- jal -oj -om,,,,,,Oxchuc <jaljom>,,
TSE20891,tzh,jalomaj,i.v.,,,,,,,Tenejapa,,,,,,jal -om -aj,,,,,,Guaquitepec <jalabij>,,
TSE20901,tzh,j'alosil,n.,,,,,,,Tenejapa,,,,,,j- 'al + osil (?),,,,,,,,
TSE20911,tzh,jalte',n2.,,,,,,,Oxchuc,,,,,,jal + te',-al,,,,,,,
TSE20921,tzh,jam,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE20931,tzh,jam ba'inal ya'iy,phr.(i.v.+subj.NP+VP),,,,,,TSE00981 ; TSE03821 ; TSE20411,Villa Las Rosas,,,,,,,,,,,,,,
TSE20941,tzh,jamaka,n.,,,,,,,Amatenango,,,,,,,,jamaká,,,,,,
TSE20951,tzh,jamal,pos.adj.,-il,,,[jamal k'inal](TSE21001),,TSE20921,,,,,,,jam -al,,,jamajtik,,,,,
TSE20961,tzh,jamal,adv.,,,,,,,,,TSE20951,de [jamal](TSE20951),,,jam -al,,,,,,,,
TSE20971,tzh,ja'mal,n.,,,,,,,,,,,,,,,,,,,,,
TSE20981,tzh,ja'mal,n.,,,,,,,Amatenango,,,,,,,,,,,,,,
TSE20991,tzh,ja'mal chitam,n.,,,,,,,North,,,,,,ja'mal + chitam,,,,,,,,
TSE21001,tzh,jamal k'inal,phr.(n.v.p.+subj.NP),,,,,,TSE20951 ; TSE30901,,,,,,,,,,,,,,,
TSE21011,tzh,ja'mal taj,n.,,,,,,TSE20971 ; TSE57181,Guaquitepec,,,,,,ja'mal + taj,,,,,,,,
TSE21021,tzh,jamalal,n.,,,,,,,,,,,,,jam -al -al,,,,,,,,
TSE21031,tzh,jamet,expr.,,,jamamet,,,TSE20921,,,,,,,jam -et,,,,,,,,
TSE21041,tzh,jamluj,expr.,,,,,,TSE20921,,,,,,,jam -luj,,,,,alternancia -Vj: <jamloj>,,,
TSE21051,tzh,j'amtel,n.,,,,,,,Tenejapa,,,"quizás del tsotsil <j'abtel> 'trabajador, autoridad'",,,j- 'amtel,,,,,,,,
TSE21061,tzh,jamts'uj,i.v.,,,,,,TSE20921,"Guaquitepec, Oxchuc",,,,,,jam -ts'uj,,,,,,,,
TSE21071,tzh,jamts'un,t.v.,,,,,,TSE20921,"Guaquitepec, Oxchuc",,,,,,jam -ts'un,,,,,,,,
TSE21081,tzh,janal,pos.adj.,,,,,,,,,,,,,jan -al,,,janajtik,,,,,
TSE21091,tzh,jap,t.v.,,,,,,,Guaquitepec,,,,,,,,,,,,,,
TSE21101,tzh,jap,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE21111,tzh,japal,pos.adj.,japil,,,,,,,,,,,,jap -al,,,japajtik,,,,,
TSE21121,tzh,japal,pos.adj.,,,,,,,"Cancuc, Petalcingo",,,,,,jap -al,,,japajtik,,,,,
TSE21131,tzh,jap'al,pos.adj.,,,,,,,Bachajón,,,,,,jap' -al,,,jap'ajtik,,,,,
TSE21141,tzh,japet,expr.,,,japapet,,,,,,,,,,jap -et,,,,,,,,
TSE21151,tzh,jaragan,adj.,-il,,,,,,,,,del español,,,,,,,,,"Cancuc, Oxchuc, Tenejapa [jarkan](TSE21171)",,
TSE21161,tzh,jaraganub,i.v.,,,,,,TSE21151,,,,,,,jaragan -ub,,,,,,"Cancuc, Oxchuc, Tenejapa <jarkanub>",,
TSE21171,tzh,jarkan,adj.,"-il, -ul",,,,,,"Cancuc, Oxchuc, Tenejapa",,,,,,,,,,,,,,
TSE21181,tzh,jasal,prep./sub.,,,jasa,,,,Petalcingo,,,,,,jas -al (?),,,,,,,,
TSE21191,tzh,jasawet,expr.,,,,,,,,,,,,,jas -awet,,,,,,,,
TSE21201,tzh,jaset,expr.,,,jasaset,,,,,,,,,,jas -et,,,,,,,,
TSE21211,tzh,jasjas,n.,,,,,,,,,,,,,jas -REDUPL:C1VC2,,,,,,,,
TSE21221,tzh,jasjon,expr.,,,,,,,,,,,,,jas -REDUPL:C1on,,,,,alternancia O/U: <jasjun>,,,
TSE21231,tzh,jat,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE21241,tzh,jat,i.v.,,,,,,,,,TSE21231,,,,,,,,,,,,
TSE21251,tzh,jat',i.v.,,,,,,,Tenejapa,,,,,,,,,,,,,,
TSE21261,tzh,jatal,pos.adj.,,,,,,,North,,,,,,jat -al,,,jatajtik,,,,,
TSE21271,tzh,j'a'tel,n.,,,,,,TSE02651,,,,,,,j- 'a'tel,,,,,alternancia J-: <a'tel>,Oxchuc <at'el>,,
TSE21281,tzh,j'a'tel jpatan,n.co.,,,j'a'tejpatan,,,TSE21271 ; TSE48321,,,,,,,j- 'a't (<abat) -ej + j- patan,,,,,alternancia J-: <a'tejpatan>,Bachajón (San Jerónimo) <j'a'tel patan>; Oxchuc <at'ejpatan>,,
TSE21291,tzh,jat'isumaj,i.v.,,,,,,,,,,,,,ja't'isum -aj,,,,,,,,
TSE21301,tzh,jats,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE21311,tzh,jats,i.v.,,,,,,,"Guaquitepec, Oxchuc, Tenejapa",,TSE21301,,,,,,,,,,,,
TSE21321,tzh,ja'ub,i.v.,,,,,,,,,,,,,ja' -ub,,,,,,,,
TSE21331,tzh,ja'ubtes,t.v.,,,,,,,,,,,,,ja' -ub -tes,,,,,,,,
TSE21341,tzh,jaw,t.v.,,,,,,,"Bachajón, Petalcingo",,,,,,,,,,,,,,
TSE21351,tzh,jaw,t.v.,,,,,,,Guaquitepec,,,,,,,,,,,,,,
TSE21361,tzh,jawal,pos.adj.,,,,,,,,,,,,,jaw -al,,,jawajtik,,,,,
TSE21371,tzh,jawal tep,n2.,,,,,,,Tenejapa,,,,,,jaw -al + tep,-il,,,,,,,
TSE21381,tzh,jawan,n2.,,,,,,,,,,,,,,-il,,,"-ab, -tak",,,,
TSE21391,tzh,ja'wej,act.n.,,,,,,,"Center, Guaquitepec",,,,,,ja' -w -ej,,,,,,,,
TSE21401,tzh,ja'wil,n.,,,,,,,"Center, Aguacatenango, Guaquitepec",,,,,,,,,,,,,,
TSE21411,tzh,jawts'uj,i.v.,,,,,,,,,,,,,jaw -ts'uj,,,,,alternancia -Vj: <jawts'oj>,,,
TSE21421,tzh,jawts'un,t.v.,,,,,,,,,,,,,jaw -ts'un,,,,,,,,
TSE21431,tzh,jax,t.v.,,,,,,,,,,,,,,,,,,,,,
TSE21441,tzh,jaxaj,i.v.,,,,,,,,,,,,,jax -aj,,,,,,,,
TSE21451,tzh,jaxal,pos.adj.,,,,,,,,,,,,,jax -al,,,jaxajtik,,,,,
TSE21461,tzh,jaxan,part.,,,,,,,,,,de [ja'](TSE20081) + [xan](TSE72401),,,,,,,,,,,
TSE21471,tzh,jaxan,t.v.,,,,,,,,,,,,,jax -an,,,,,,,,
TSE21481,tzh,jaxax,n.,,,,,,,Cancuc,,,,,,jax -REDUPL:C1VC2,,,,,,,,
TSE21491,tzh,jaxet,expr.,,,jaxaxet,,,,,,,,,,jax -et,,,,,,,,
TSE21492,tzh,jaxjon,expr.,,,,,,,,,,,,,jax -REDUPL:C1on,,,,,alternancia O/U: <jaxjun>,,,
TSE21501,tzh,jaxjaxmaj,t.v.,,,,,,,Bachajón,,,,,,jax -REDUPL:C1VC2 + maj,,,,,,Petalcingo [toyboj](TSE61411),,
TSE21511,tzh,jaxjoy,t.v.,,,,,,,,,,,,,jax -REDUPL:C1oy,,,,,"alternancia -Y, O/U: <jaxjuy, jaxju>",,,
TSE21521,tzh,jaxluj,expr.,,,,,,,,,,,,,jax -luj,,,,,alternancia -Vj: <jaxloj>,,,
TSE21531,tzh,jaxp'uj,i.v.,,,,,,,,,,,,,jax -p'uj,,,,,"alternancia P', -Vj: <jaxp'oj, Oxchuc jaxbuj>",,,
TSE21541,tzh,jaxp'un,t.v.,,,,,,,,,,,,,jax -p'un,,,,,,,,
TSE21551,tzh,jay,n.,,,,,,,,,,,,,,,,,,,,,
TSE21561,tzh,jay,adj.,"-al, -il",,,,-al; Oxchuc -il,,,,,,,,,,,,,,,,
TSE21571,tzh,jay,t.v.,,,,,,,Bachajón,,,,,,,,,,,,,,
TSE21581,tzh,jayal bikil,n2.,,,,,,TSE05871 ; TSE21561,,,,,,,jay -al + bikil,,,,,,,,
TSE21591,tzh,jayeb,prof.,,,,,,,,,TSE55381,,,,jay -eb,,,,,,,,
TSE21601,tzh,jayub,i.v.,,,,,,TSE21561,,,,,,,jay -ub,,,,,,,,
TSE21611,tzh,jayubaj,i.v.,,,,,,,Amatenango,,,,,,jayub -aj,,,,,,,,
TSE21621,tzh,jayubtes,t.v.,,,,,,TSE21601,,,,,,,jay -ub -tes,,,,,,,,
TSE21631,tzh,jbahk',num./num.clas.,,,,,,,,,,,,,j- bahk',,,,,,,,
TSE21641,tzh,jbehyumal,n.,,,,,,TSE05261,Bachajón,,,,,,j- beh -yum -al,,,,,,,,
TSE21651,tzh,jbeomal,n.,,,,,,TSE05472,,,,,,,j- be -om -al,,,,,,,,
TSE21652,tzh,jbehumal,n.,,,,,,TSE05251,Petalcingo,,,,,,j- beh -um -al,,,,,,,,
